Date,USD
31/12/2015,66.326
30/12/2015,66.4243
29/12/2015,66.37
28/12/2015,66.138
23/12/2015,66.202
22/12/2015,66.2985
21/12/2015,66.324
18/12/2015,66.4235
17/12/2015,66.6488
16/12/2015,66.8468
15/12/2015,67.0435
14/12/2015,66.994
11/12/2015,66.786
10/12/2015,66.7905
9/12/2015,66.75
8/12/2015,66.7983
7/12/2015,66.6263
4/12/2015,66.8365
3/12/2015,66.745
2/12/2015,66.6158
1/12/2015,66.518
30/11/2015,66.8148
27/11/2015,66.7503
26/11/2015,66.5507
24/11/2015,66.384
23/11/2015,66.349
20/11/2015,66.094
19/11/2015,66.1105
18/11/2015,66.1138
17/11/2015,65.9805
16/11/2015,66.169
13/11/2015,66.139
10/11/2015,66.3495
9/11/2015,66.3378
6/11/2015,65.791
5/11/2015,65.6755
4/11/2015,65.568
3/11/2015,65.451
2/11/2015,65.4793
30/10/2015,65.2231
29/10/2015,65.1515
28/10/2015,65.0408
27/10/2015,64.9553
26/10/2015,64.9603
23/10/2015,64.8815
21/10/2015,65.1513
20/10/2015,64.8908
19/10/2015,64.8178
16/10/2015,64.9697
15/10/2015,64.824
14/10/2015,65.1123
13/10/2015,65.0215
12/10/2015,64.726
9/10/2015,64.7848
8/10/2015,65.157
7/10/2015,65.2571
6/10/2015,65.3908
5/10/2015,65.2905
1/10/2015,65.554
30/09/2015,65.7418
29/09/2015,66.1843
28/09/2015,66.0805
24/09/2015,66.0993
23/09/2015,65.9696
22/09/2015,65.625
21/09/2015,65.7531
18/09/2015,65.9255
16/09/2015,66.5
15/09/2015,66.4383
14/09/2015,66.3708
11/9/2015,66.3866
10/9/2015,66.584
9/9/2015,66.2945
8/9/2015,66.606
7/9/2015,66.7445
4/9/2015,66.4003
3/9/2015,66.228
2/9/2015,66.1638
1/9/2015,66.2603
31/08/2015,66.3062
28/08/2015,66.0808
27/08/2015,66.0605
26/08/2015,66.161
25/08/2015,66.709
24/08/2015,66.5093
21/08/2015,65.8298
20/08/2015,65.2385
19/08/2015,65.2525
17/08/2015,65.22
14/08/2015,65.1225
13/08/2015,64.9212
12/8/2015,64.827
11/8/2015,64.1732
10/8/2015,63.759
7/8/2015,63.8061
6/8/2015,63.7603
5/8/2015,63.8159
4/8/2015,63.9315
3/8/2015,63.9623
31/07/2015,64.0054
30/07/2015,64.0061
29/07/2015,63.8943
28/07/2015,64.027
27/07/2015,64.0028
24/07/2015,63.8916
23/07/2015,63.7138
22/07/2015,63.5283
21/07/2015,63.6506
20/07/2015,63.551
17/07/2015,63.4928
16/07/2015,63.4955
15/07/2015,63.3847
14/07/2015,63.4978
13/07/2015,63.4655
10/7/2015,63.3793
9/7/2015,63.5065
8/7/2015,63.569
7/7/2015,63.3749
6/7/2015,63.5785
3/7/2015,63.3963
2/7/2015,63.5705
1/7/2015,63.6223
30/06/2015,63.7549
29/06/2015,63.917
26/06/2015,63.6042
25/06/2015,63.6121
24/06/2015,63.66
23/06/2015,63.6406
22/06/2015,63.5098
19/06/2015,63.8195
18/06/2015,63.8495
17/06/2015,64.1135
16/06/2015,64.1505
15/06/2015,64.0868
12/6/2015,64.0301
11/6/2015,63.891
10/6/2015,63.8849
9/6/2015,63.936
8/6/2015,64.11
5/6/2015,63.8955
4/6/2015,64.1775
3/6/2015,63.8515
2/6/2015,63.833
1/6/2015,63.6083
29/05/2015,63.7615
28/05/2015,63.901
27/05/2015,63.9475
26/05/2015,63.845
25/05/2015,63.6228
22/05/2015,63.5728
21/05/2015,63.7
20/05/2015,63.8655
19/05/2015,63.6868
18/05/2015,63.5543
15/05/2015,63.5788
14/05/2015,63.838
13/05/2015,64.1895
12/5/2015,64.202
11/5/2015,63.8495
8/5/2015,64.0493
7/5/2015,63.88
6/5/2015,63.6425
5/5/2015,63.5194
30/04/2015,63.578
29/04/2015,63.2025
28/04/2015,63.3305
27/04/2015,63.6115
24/04/2015,63.4006
23/04/2015,63.185
22/04/2015,62.8183
21/04/2015,62.92
20/04/2015,62.5633
17/04/2015,62.346
16/04/2015,62.3685
15/04/2015,62.4026
13/04/2015,62.3885
10/4/2015,62.366
9/4/2015,62.256
8/4/2015,62.3295
7/4/2015,62.3321
6/4/2015,62.158
31/03/2015,62.5908
30/03/2015,62.6305
27/03/2015,62.6069
26/03/2015,62.6728
25/03/2015,62.3419
24/03/2015,62.1988
23/03/2015,62.2879
20/03/2015,62.4923
19/03/2015,62.4208
18/03/2015,62.672
17/03/2015,62.692
16/03/2015,62.8215
13/03/2015,62.6733
12/3/2015,62.5665
11/3/2015,62.745
10/3/2015,62.6983
9/3/2015,62.616
5/3/2015,62.2015
4/3/2015,61.8543
3/3/2015,61.8387
2/3/2015,61.8248
27/02/2015,61.7908
26/02/2015,61.9395
25/02/2015,62.0468
24/02/2015,62.2758
23/02/2015,62.1838
20/02/2015,62.255
18/02/2015,62.245
16/02/2015,62.2023
13/02/2015,62.136
12/2/2015,62.43
11/2/2015,62.1536
10/2/2015,61.9634
9/2/2015,62.141
6/2/2015,61.7363
5/2/2015,61.8748
4/2/2015,61.68
3/2/2015,61.7389
2/2/2015,61.884
30/01/2015,61.7575
29/01/2015,61.4998
28/01/2015,61.4105
27/01/2015,61.464
23/01/2015,61.4988
22/01/2015,61.691
21/01/2015,61.614
20/01/2015,61.8475
19/01/2015,61.699
16/01/2015,61.8933
15/01/2015,61.7588
14/01/2015,62.153
13/01/2015,62.1021
12/1/2015,62.1605
9/1/2015,62.3953
8/1/2015,62.967
7/1/2015,63.4495
6/1/2015,63.385
5/1/2015,63.3888
2/1/2015,63.2878
1/1/2015,63.3213
31/12/2014,63.3315
30/12/2014,63.7498
29/12/2014,63.6539
26/12/2014,63.6355
24/12/2014,63.4614
23/12/2014,63.4475
22/12/2014,63.1757
19/12/2014,63.067
18/12/2014,63.3161
17/12/2014,63.5813
16/12/2014,63.4135
15/12/2014,62.6529
12/12/2014,62.4422
11/12/2014,62.2059
10/12/2014,61.95
9/12/2014,61.875
8/12/2014,61.9253
5/12/2014,61.8535
4/12/2014,61.8771
3/12/2014,61.8866
2/12/2014,61.9255
1/12/2014,62.1377
28/11/2014,61.9736
27/11/2014,61.865
26/11/2014,61.8658
25/11/2014,61.9195
24/11/2014,61.7798
21/11/2014,61.8505
20/11/2014,62.1044
19/11/2014,61.828
18/11/2014,61.808
17/11/2014,61.678
14/11/2014,61.6475
13/11/2014,61.556
12/11/2014,61.4785
11/11/2014,61.55
10/11/2014,61.4513
7/11/2014,61.5205
